Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 bit studios S.A. (WSE:11B),WSE:11B,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Home Entertainment,11 bit studios S.A. (WSE:11B) - Form Doc,"11 bit studios S.A. engages in production and sale of cross-platform video games worldwide. The company also operates publishing business, which publishes games produced by third-party development studios. 11 bit studios S.A. was incorporated in 2009 and is headquartered in Warsaw, Poland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Education & Technology Group Inc. (NasdaqGS:YQ),NasdaqGS:YQ,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Education Services,17 Education & Technology Group Inc. (NasdaqGS:YQ) 2024 Form 20-F,"17 Education & Technology Group Inc., an education technology company, provides education and education technology services in the People’s Republic of China. The company offers other educational products and services, including membership-based premium educational content subscriptions for educational contents, light courses, Chinese reading, math oral arithmetic, reading machines, study plans, and related services. It also provides teaching and learning SaaS solutions, such as education informatization services for education-related government entities, schools, and service providers. The company was incorporated in 2012 and is headquartered in Beijing, the People’s Republic of China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5th Planet Games A/S (OB:5PG),OB:5PG,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Home Entertainment,5th Planet Games A/S (OB:5PG) 2024 Form Doc,"5th Planet Games A/S operates as a video games publisher worldwide. Its games include BEFORE YOUR EYES, Hugo Carts, Snake Bite, Tintin Match, Kick ‘N’ Run, Hugo, HUGO TROLL RACE 2, Hugo Adventure Casino, Hugo 2, and Hugo Goal. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was incorporated in 2011 and is based in Copenhagen, Denmark.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Road Holdings Limited (SEHK:797),SEHK:797,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Home Entertainment,7Road Holdings Limited (SEHK:797) - Form Doc,"7Road Holdings Limited, an investment holding company, develops and distributes of web and mobile games in the People’s Republic of China and internationally. The company offers web and mobile games, including DDTank, Wartune, Mythic Glory, Island Story, DRAGON OATH, and DDTank Adventure series. It is also involved in the provision of publishing online games; sandbox games development and operation; online game development, licensing, promotion, and management; and cloud computing and other related services, such as elastic computing, storage, GPU computing, and security. 7Road Holdings Limited was incorporated in 2008 and is headquartered in Wuxi, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS-CBN Corporation (PSE:ABS),PSE:ABS,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Licensor,Broadcasting,ABS-CBN Corporation (PSE:ABS) - Form Doc,"ABS-CBN Corporation, together with its subsidiaries, engages in the television and radio broadcasting businesses in the Philippines, the United States, the Middle East, Europe, the Asia Pacific, Australia, Canada, and Japan. It operates in two segments, Content production and Distribution; and Cable and Broadband. The company creates and distributes content, including entertainment, news, and current affairs programs; and distributes content and media products through cable, direct to home satellite, online, internet protocol television, mobile applications, and video streaming through The Filipino Channel. It also engages in the film distribution, video-on-demand, music events, concerts and music tours, retail, online radio and video streaming, philanthropic support, film and music production and distribution, audio recording and distribution, and post-production activities. In addition, the company provides satellite programming, magazine publishing, theater operation, educational/training, restaurant and food, livestock, and telecommunications services, as well as offers cable television, broadband, and money remittance services. Further, it engages in non-vessel common carrier, marketing, and sales and advertising operations; digital film archiving and central library, and content licensing and transmission businesses; call center operations; real estate activities; and theme park operations. The company was incorporated in 1946 and is headquartered in Quezon City, the Philippines. ABS-CBN Corporation operates as a subsidiary of Lopez, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accel Limited (BSE:517494),BSE:517494,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Movies and Entertainment,Accel Limited (BSE:517494) 8/30 Form Doc,"Accel Limited, together with its subsidiaries, engages in the information technology (IT) service, animation, engineering, real estate, and academic businesses in India and internationally. The company offers IT infrastructure management, network design and implementation, server and desktop virtualization, cloud services and migration, disaster recovery and business continuity planning, warranty and logistics management, cyber security managed, managed print, and software services. It also provides TETRA Radio systems, software-defined radios, cognitive radio, Wi-MAX, mobile adhoc networks, wireless sensor networks, and networking products. The company was incorporated in 1986 and is headquartered in Chennai, India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acceleware Ltd. (TSXV:AXE),TSXV:AXE,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Application Software,Acceleware Ltd. (TSXV:AXE) 2022 Form Doc,"Acceleware Ltd. operates as an oil and gas technology company in Canada and the United States. The company operates through two segments, RF Heating and High-Performance Computing. It develops an enhanced heavy oil and oil sands production technology based on radio frequency (RF) heating; and develops and markets computational software products for the oil and gas, and other markets. The company’s solutions include AxFDTD; AxHeat RF heating simulation software; AxRTM, a graphics processing unit accelerated Kirchhoff time migration solution; AxWAVE, a solution that allows customers to model seismic acquisition and perform data characterization; AxFWI, a revolutionary modular full waveform inversion application for providing subsurface velocity models. It sells computing software and related consulting services, and training programs primarily to the oil and gas industry. Acceleware Ltd. was founded in 2004 and is headquartered in Calgary, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Activision Blizzard, Inc.",-,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Home Entertainment,"Activision Blizzard, Inc. 2023 Form 10-K","Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision, Blizzard, and King. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offers digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company’s key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, Overwatch League, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. was formerly known as Vivendi Games, Inc. and changed to Activision Blizzard, Inc. in July 2008. The company was founded in 1979 and is based in Santa Monica, California. As of October 13, 2023, Activision Blizzard, Inc. operates as a subsidiary of Microsoft Corporation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADDCN Technology Co., Ltd (TPEX:5287)",TPEX:5287,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Interactive Media and Services,"ADDCN Technology Co., Ltd (TPEX:5287) 2023 Form Doc","ADDCN Technology Co., Ltd, together with its subsidiaries, operates online trading platforms in Taiwan and internationally. The company operates 591.com.tw, a property and home service platform; 8891.com.tw, a car trading platform; 518.com.tw, a human resource search platform; and 8591.com.tw, an online virtual treasure trading platform. It also operates 100.com.tw, a platform for the interior design; tasker.com.tw, a professional outsourcing platform; chickpt.com.tw, a part-time job application; and marry.com.tw, a wedding service platform. ADDCN Technology Co., Ltd was incorporated in 1997 and is based in New Taipei City, Taiwan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Health Intelligence Ltd (ASX:AHI),ASX:AHI,Apple Inc. (NasdaqGS:AAPL),"Self
                         ",Supplier,Health Care Technology,Advanced Health Intelligence Ltd (ASX:AHI) 2023 Form 20-F,"Advanced Health Intelligence Ltd. operates as a mobile application and technology development company in Australia and internationally. It offers biometric health assessments, a multi-step process that employs facial scanning, heart rate measurements, body composition analysis, and cardiovascular fitness tests that evaluates an individual’s health. The company also provides FaceScan, process that estimates on heart rate, respiration rate, blood pressure, and other through facial scans; BodyScan, a smart body composition and dimensioning technology that enables user to check and assess body dimensions using a smartphone; and DermaScan, a dermatological scanner. It serves mobile health and telehealth, life and health insurance, wellness, and government sectors. The company was formerly known as Advanced Human Imaging Limited and changed its name to Advanced Health Intelligence Ltd. in December 2022. Advanced Health Intelligence Ltd. was incorporated in 2014 and is based in South Perth, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
