Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
AD Plastik d.d. (ZGSE:ADPL),ZGSE:ADPL,Ford Motor Company (NYSE:F),"Self
                         ",Supplier,Automotive Parts and Equipment,AD Plastik d.d. (ZGSE:ADPL) 2024 Form ,"AD Plastik d.d. develops, produces, and sells interior and exterior automotive components in Slovenia, Romania, Russia, France, Hungary, Italy, the United Kingdom, Germany, Spain, Slovakia, Croatia, Poland, the Czech Republic, and internationally. The company offers exterior components, such as front and rear bumpers, hood, front and rear bumper extender, front fender, front and rear fender protector, and rocker cladding; upper and lower grille, front skirt, and absorber; underbody covers, deflector, wheel arch housing, and window guide channel; roof spoiler; and rear skirt and diffusor. It provides interior components comprising door panels, central consoles, and instrument panel; headliners and floor carpets; parcel shelf and trunk side trim and carpets; and hard trims, sunvisor, and grab handle. In addition, the company offers seals, which comprise roof mouldings, windshield finishers, glass run channels, and door hidden frames, as well as outer and inner belts. Further, the company provides injection and blow moulding, painting, thermoforming, extrusion, non-woven textile, and assembly related technologies. AD Plastik d.d. was founded in 1952 and is headquartered in Solin, the Republic of Croatia."
Adient plc (NYSE:ADNT),NYSE:ADNT,Ford Motor Company (NYSE:F),"Self
                         ",Supplier,Automotive Parts and Equipment,Adient plc (NYSE:ADNT) 2024 Form 10-K,"Adient plc engages in the design, development, manufacture, and market of seating systems and components for passenger cars, commercial vehicles, and light trucks. The company’s automotive seating solutions include complete seating systems, mechanisms, frames, foams, head restraints, armrests, and trim covers. It serves automotive original equipment manufacturers in North America and South America; Europe, Middle East, and Africa; and the Asia Pacific/China. Adient plc was incorporated in 2016 and is based in Dublin, Ireland."
"Ambarella, Inc. (NasdaqGS:AMBA)",NasdaqGS:AMBA,SNTNL LLC,"Subsidiary/Investment
                         ",Supplier,Semiconductors,Key DevelopmentClient Announcements Nov-08-2023,"Ambarella, Inc. develops semiconductor solutions that enable high-definition (HD) and ultra HD compression, image signal processing, and artificial intelligence processing worldwide. The company’s system-on-a-chip designs integrated HD video processing, image processing, artificial intelligence computer vision algorithms, audio processing, and system functions onto a single chip for delivering video and image quality, differentiated functionality, and low power consumption. Its solutions are used in automotive cameras, such as automotive video recorders, electronic mirrors, front advanced driver assistance system camera, cabin monitoring system and driver monitoring system camera, and central domain controllers for autonomous vehicle; enterprise and public class, and home security camera; and robotics and industrial application, including identification/authentication cameras, robotic products, and sensing cameras, as well as cameras for the enterprise, home, public spaces, and consumer leisure comprising wearable body cameras, sports action cameras, social media cameras, drones for capturing aerial video or photographs, video conferencing, and virtual reality applications. The company sells its solutions to original design manufacturers and original equipment manufacturers through its direct sales force and distributors. Ambarella, Inc. was incorporated in 2004 and is headquartered in Santa Clara, California."
"American Axle & Manufacturing Holdings, Inc. (NYSE:AXL)",NYSE:AXL,Ford Motor Company (NYSE:F),"Self
                         ",Supplier,Automotive Parts and Equipment,"American Axle & Manufacturing Holdings, Inc. (NYSE:AXL) 2024 Form 10-K","American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through two segments, Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures, including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates in North America, Asia, Europe, and South America. American Axle & Manufacturing Holdings, Inc. was founded in 1994 and is headquartered in Detroit, Michigan."
"Anhui Zhongding Sealing Parts Co., Ltd. (SZSE:000887)",SZSE:000887,Ford Motor Company (NYSE:F),"Self
                         ",Supplier,Tires and Rubber,"Anhui Zhongding Sealing Parts Co., Ltd. (SZSE:000887) - Form Doc","Anhui Zhongding Sealing Parts Co., Ltd. manufactures and sells hydraulic and pneumatic seals, and non-tire rubber products in China. Anhui Zhongding Sealing Parts Co., Ltd. was founded in 1980 and is based in Ningguo, China."
APAGCoSyst Electronic Control Systems,-,Ford Motor Company (NYSE:F),"Self
                         ",Supplier,,Kanoria Chemicals & Industries Limited (NSEI:KANORICHEM) 8/22 Form Doc,There is no business description for this supplier.
Aptiv PLC (NYSE:APTV),NYSE:APTV,Ford Motor Company (NYSE:F),"Self
                         ",Supplier,Automotive Parts and Equipment,Aptiv PLC (NYSE:APTV) 2024 Form 10-K,"Aptiv PLC engages in design, manufacture, and sale of vehicle components in North America, Europe, Middle East, Africa, the Asia Pacific, South America, and internationally. The company provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets. It operates through two segments, Signal and Power Solutions, and Advanced Safety and User Experience. The Signal and Power Solutions segment designs, manufactures, and assembles vehicle’s electrical architecture, including engineered component products, connectors, wiring assemblies and harnesses, cable management products, electrical centers, and hybrid high voltage and safety distribution systems. Its Advanced Safety and User Experience segment provides critical technologies and services for vehicle safety, security, comfort, and convenience, such as sensing and perception systems, electronic control units, multi-domain controllers, vehicle connectivity systems, application software, autonomous driving technologies, and end-to-end DevOps tools. The company was formerly known as Delphi Automotive PLC and changed its name to Aptiv PLC in December 2017. Aptiv PLC was incorporated in 2011 and is based in Dublin, Ireland."
"ARRIVER HOLDCO, INC.",-,Ford Motor Company (NYSE:F),"Self
                         ",Supplier,Automotive Parts and Equipment,"ARRIVER HOLDCO, INC. 2022 Form 10-K","ARRIVER HOLDCO, INC. engages in the design, development, manufacture, and sale of automotive safety electronics primarily in North America, Europe, and Asia. It offers mono-and stereo-vision cameras, night driving assist systems, advanced driver assist systems (ADAS), electronic control units, seat belt pre-tensioner electronic controllers, and ADAS software for highly automated driving (HAD) and autonomous driving (AD). The company also provides driver monitoring systems, LiDAR sensors, RoadScape positioning, and other technologies for ADAS, HAD, and AD solutions. ARRIVER HOLDCO, INC. was formerly known as VEONEER, INC. ARRIVER HOLDCO, INC. was incorporated in 2017 and is headquartered in Stockholm, Sweden. ARRIVER HOLDCO, INC. operates as a subsidiary of Ssw Holdco Lp."
Ashapura Logistics Limited (NSEI:ASHALOG),NSEI:ASHALOG,Ford India Private Limited,"Subsidiary/Investment
                         ",Supplier,Air Freight and Logistics,Ashapura Logistics Limited (NSEI:ASHALOG) 2024 Form Doc,"Ashapura Logistics Limited operates as an integrated logistics company in India. It operates through Cargo Handling and Freight Forwarding; Transportation; Warehousing and Distribution; and Other Services segments. The company handles various type of cargo, including bulk, containerized, and over dimensional cargo. It is involved in loading and unloading of goods; custom clearances for cargo; and stuffing and unstuffing of goods into containers, as well as provision of project and third-party logistics, and coastal movement services. In addition, the company provides ocean and air freight, surface transport, and domestic cargo transportation services. Ashapura Logistics Limited was incorporated in 2002 and is based in Ahmedabad, India."
Autoline Design Software Limited,-,Ford Motor Company (NYSE:F),"Self
                         ",Supplier,Automobile Manufacturers,Autoline Industries Limited (NSEI:AUTOIND) - Form Doc,"Autoline Design Software Limited operates as an engineering services company that offers design, drafting, modeling and analysis services. The company was incorporated in 2004 and is based in Pune, India. Autoline Design Software Limited operates as a subsidiary of Autoline Industries Limited."
Autoline Industries Limited (NSEI:AUTOIND),NSEI:AUTOIND,Ford India Private Limited,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,Autoline Industries Limited (NSEI:AUTOIND) - Form Doc,"Autoline Industries Limited manufactures and sells sheet metal stampings, welded assemblies, and modules for original equipment manufacturers and other automobile companies in India. The company offers small mechanical assemblies, including pedal boxes, parking brakes, door hinges, cab stay and cab tilt assemblies, and battery brackets; exhaust systems; load body, tubular structures, fabrications, foot control modules, and skin panels; medium stamp parts/assemblies; large stamp assemblies; non-automotive assemblies; and hospital beds and steel furniture. It also provides design and engineering services, such as product engineering, product re-engineering, sheet metal-BIW design and engineering, reverse engineering, and jigs and fixture services. In addition, the company offers manufacturing services comprising tool room, and prototype and mass manufacturing services, as well as contract engineering manpower for onsite and offsite deployment. Further, it provides engineering and designing software services and business solutions. The company exports its products. Autoline Industries Limited was founded in 1995 and is based in Pune, India."
Autoline Industries Limited (NSEI:AUTOIND),NSEI:AUTOIND,Ford Motor Company (NYSE:F),"Self
                         ",Supplier,Automotive Parts and Equipment,Autoline Industries Limited (NSEI:AUTOIND) 9/3/ Form Doc,"Autoline Industries Limited manufactures and sells sheet metal stampings, welded assemblies, and modules for original equipment manufacturers and other automobile companies in India. The company offers small mechanical assemblies, including pedal boxes, parking brakes, door hinges, cab stay and cab tilt assemblies, and battery brackets; exhaust systems; load body, tubular structures, fabrications, foot control modules, and skin panels; medium stamp parts/assemblies; large stamp assemblies; non-automotive assemblies; and hospital beds and steel furniture. It also provides design and engineering services, such as product engineering, product re-engineering, sheet metal-BIW design and engineering, reverse engineering, and jigs and fixture services. In addition, the company offers manufacturing services comprising tool room, and prototype and mass manufacturing services, as well as contract engineering manpower for onsite and offsite deployment. Further, it provides engineering and designing software services and business solutions. The company exports its products. Autoline Industries Limited was founded in 1995 and is based in Pune, India."
"Autoliv, Inc. (NYSE:ALV)",NYSE:ALV,Ford Motor Company (NYSE:F),"Self
                         ",Supplier,Automotive Parts and Equipment,"Autoliv, Inc. (NYSE:ALV) 2024 Form 10-K","Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. It offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, seatbelts, steering wheels, and inflator technologies. The company also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two wheelers. It primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is headquartered in Stockholm, Sweden."
Autoneum Holding AG (SWX:AUTN),SWX:AUTN,Ford Motor Company (NYSE:F),"Self
                         ",Supplier,Automotive Parts and Equipment,Autoneum Holding AG (SWX:AUTN) - Form Doc,"Autoneum Holding AG develops and manufactures acoustic and thermal management solutions for vehicles. It offers multifunctional and lightweight components and systems for noise and heat protection. The company provides engine and e-motor encapsulations, frunks, outer dashes, hoodliners, engine top covers, and outer trunk floor insulators; and underbody products, including under body and battery shields, wheelhouse outer liners, outer tunnel and floor insulators, battery electromagnetic shields, under battery shields, and heatshields. It also offers interior floor products comprising inner dashes, needle punch and tufted carpets, floor insulators and mats, and inner wheelhouse and trunk floor insulators. In addition, it provides trunk side trim, load floors, tailgate trim, and floor carpet and trim, parcel shelves, and backseat trim; accessory and gearbox encapsulations, and noise shields; under engine shields; washable surface flooring and carpet system; and side and near panels, upper storage, and bunk bed support. The company has operations in Europe, North America, Asia, South America, the Middle East, and Africa. Autoneum Holding AG was founded in 1901 and is headquartered in Winterthur, Switzerland."
