Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
"Advantest America, Inc.",-,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Semiconductor Materials and Equipment,NVIDIA Corporation (NasdaqGS:NVDA) 2023 Form 10-K,"Advantest America, Inc. engages in manufacturing, designing, and distribution of semiconductor and component test system products. The company was formerly known as Takeda Systems, Inc. The company was founded in 1982 and is based in San Jose, California with additional offices in Boise, Idaho; Folsom, San Diego and Baldwin Park, California; Fort Collins, Colorado; Princeton, New Jersey; Chandler, Arizona; Richardson and Austin, Texas; Chicago, Illinois; and New York, New York. Advantest America, Inc. operates as a subsidiary of Advantest Corporation."
"Amkor Technology, Inc. (NasdaqGS:AMKR)",NasdaqGS:AMKR,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Semiconductor Materials and Equipment,NVIDIA Corporation (NasdaqGS:NVDA) 2023 Form 10-K,"Amkor Technology, Inc. provides outsourced semiconductor packaging and test services in the United States, Japan, Europe, the Middle East, Africa, and the Asia Pacific. It offers turnkey packaging and test services, including semiconductor wafer bump, wafer probe, wafer back-grind, package design, packaging, system-level and final test, and drop shipment services; flip chip scale package products for smartphones, tablets, and other mobile consumer electronic devices; flip chip stacked chip scale packages that are used to stack memory digital baseband, and as applications processors in mobile devices; flip-chip ball grid array packages for various networking, storage, computing, automotive, and consumer applications; and memory products for system memory or platform data storage. The company also provides wafer-level CSP packages for power management, transceivers, sensors, wireless charging, codecs, radar, and specialty silicon; wafer-level fan-out packages used in power management, transceivers, radar, and specialty silicon; silicon wafer integrated fan-out technology that replaces a laminate substrate with a thinner structure; leadframe packages for electronic devices and mixed-signal applications; and substrate-based wirebond packages used to connect a die to a substrate. In addition, it offers micro-electro-mechanical systems packages that are miniaturized mechanical and electromechanical devices; and advanced system-in-package modules used in radio frequency and front end modules, basebands, connectivity, fingerprint sensors, display and touch screen drivers, sensors and MEMS, and NAND memory and solid-state drives. Further, the company provides wafer, package, and system level test services, as well as burn-in test and test development services. It serves integrated device manufacturers, fabless semiconductor companies, original equipment manufacturers, and contract foundries. The company was founded in 1968 and is headquartered in Tempe, Arizona."
Arm Holdings plc (NasdaqGS:ARM),NasdaqGS:ARM,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Semiconductors,Arm Holdings plc (NasdaqGS:ARM) 2023 Form 424B4,"Arm Holdings plc architects, develops, and licenses central processing unit products and related technologies for semiconductor companies and original equipment manufacturers rely on to develop products. The company is involved in the licensing, marketing, research, and development of microprocessors, systems intellectual property (IPs), graphics processing units, physical IP and associated systems IPs, software, tools, and other related services. It also offers system IP products, including memory controller IP, interconnect IP, and other on-chip peripheral components; and compute platforms for a range of devices and applications. The company’s products are used in various markets, such as automotive, computing infrastructure, consumer technologies, and Internet of things. It operates in the United States, the People’s Republic of China, Taiwan, the Republic of Korea, and internationally. The company was founded in 1990 and is headquartered in Cambridge, the United Kingdom. Arm Holdings plc operates as a subsidiary of Kronos II LLC."
BE Semiconductor Industries N.V. (ENXTAM:BESI),ENXTAM:BESI,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Semiconductor Materials and Equipment,BE Semiconductor Industries N.V. (ENXTAM:BESI) - Form Doc,"BE Semiconductor Industries N.V. engages in the development, manufacture, marketing, sale, and service of semiconductor assembly equipment for the semiconductor and electronics industries in China, the United States, Malaysia, Ireland, Korea, Taiwan, Thailand, Other Asia Pacific and Europe, and internationally. It operates through three segments: Die Attach, Packaging, and Plating. The company’s principal products include die attach equipment, such as single chip, multi-chip, multi module, flip chip, thermal compression bonding, fan out wafer level packaging, hybrid and embedded bridge die bonding, and die sorting systems; and packaging equipment, including conventional, ultra-thin, and wafer level molding, as well as trim and form, and singulation systems. It also provides plating equipment, such as tin, copper, and precious metal and solar plating systems, as well as related process chemicals; and tooling, conversion kits, spare parts, and other services. The company’s principal brand names include Datacon, Esec, Fico, and Meco. It offers its products primarily to multinational chip manufacturers, assembly subcontractors, and electronics and industrial companies. BE Semiconductor Industries N.V. was incorporated in 1995 and is headquartered in Duiven, the Netherlands."
"BYD Auto Co., Ltd.",-,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Automobile Manufacturers,NVIDIA Corporation (NasdaqGS:NVDA) 2023 Form 10-K,"BYD Auto Co., Ltd. manufactures and sells automobiles. The company manufactures electric and hybrid passenger cars. BYD Auto Co., Ltd. was formerly known as Tsinchuan Automobile Company Limited. The company is based in Xi'an, China. It has research and development and production centers in Xi'an, Shanghai, Beijing, and Shenzhen, China; and Komaron, Hungary. As of March 31, 2003, BYD Auto Co., Ltd. operates as a subsidiary of BYD Company Limited."
"Chenbro Micom Co., Ltd. (TWSE:8210)",TWSE:8210,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,"Technology Hardware, Storage and Peripherals","Chenbro Micom Co., Ltd. (TWSE:8210) 2024 Form Doc","Chenbro Micom Co., Ltd. engages in the research and development, design, manufacture, processing, and trading of computer peripherals and system of expendables in the United States, China, Taiwan, Singapore, and internationally. The company provides barebone servers; and rackmount, tower server, and PC chassis products. It offers storage expansion kits; and OEM/JDM services. In addition, the company is involved in the software design activities; and export and import of computer products and peripherals. The company was incorporated in 1983 and is headquartered in New Taipei City, Taiwan."
Chroma ATE Inc. (TWSE:2360),TWSE:2360,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Electronic Equipment and Instruments,NVIDIA Corporation (NasdaqGS:NVDA) 2023 Form 10-K,"Chroma ATE Inc. designs, assembles, manufactures, sells, repairs, and maintains software/hardware for computers and peripherals, computerized automatic test systems, electronic test instruments, signal generators, power supplies, and telecom power supplies in Taiwan, China, the United States, and internationally. It provides test solutions, such as power electronics, electric vehicle, passive component, electrical safety, video and color, flat panel display, LED and driver, photonics, semiconductor/IC, RF and wireless, and general-purpose test solutions; battery, photovoltaic/inverter, and turnkey test and automation solutions; automated optical inspection, PXI test and measurement, intelligent manufacturing system, and other solutions. The company also offers warranty, calibration and repair, instrument and test system calibration and repair, customer-site installation, product upgrade, training, technical support, and product support services, as well as replacement parts. Its products are used in information technology, communication, aerospace, and defense industries, as well as hybrid automobiles, LED luminance devices, and solar and fuel cells. The company was incorporated in 1984 and is headquartered in Taoyuan City, Taiwan."
"CrowdStrike Holdings, Inc. (NasdaqGS:CRWD)",NasdaqGS:CRWD,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Systems Software,Key DevelopmentStrategic Alliances Aug-27-2024,"CrowdStrike Holdings, Inc. provides cybersecurity solutions in the United States and internationally. Its unified platform offers cloud-delivered protection of endpoints, cloud workloads, identity, and data. The company offers corporate endpoint and cloud workload security, managed security, security and vulnerability management, IT operations management, identity protection, SIEM and log management, threat intelligence, data protection, security orchestration, automation and response and AI powered workflow automation, and securing generative AI workload services. It primarily sells subscriptions to its Falcon platform and cloud modules. The company was incorporated in 2011 and is headquartered in Austin, Texas."
"CrowdStrike, Inc.",-,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Vendor,Systems Software,Key DevelopmentStrategic Alliances Aug-27-2024,There is no business description for this supplier.
Dell Technologies Inc. (NYSE:DELL),NYSE:DELL,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,"Technology Hardware, Storage and Peripherals",Key DevelopmentClient Announcements Nov-20-2023,"Dell Technologies Inc. designs, develops, manufactures, markets, sells, and supports various comprehensive and integrated solutions, products, and services in the Americas, Europe, the Middle East, Asia, and internationally. The company operates through two segments, Infrastructure Solutions Group (ISG) and Client Solutions Group (CSG). The ISG segment provides modern and traditional storage solutions, including all-flash arrays, scale-out file, object platforms, hyper-converged infrastructure, and software-defined storage; and general-purpose and AI-optimized servers. This segment also offers networking products and services comprising wide area network infrastructure, data center and edge networking switches, and cables and optics that help its business customers to transform and modernize their infrastructure, mobilize and enrich end-user experiences, and accelerate business applications and processes; software and peripherals; and consulting, support, and deployment services. The CSG segment provides desktops, workstations, and notebooks; displays, docking stations, keyboards, mice, webcam, and audio devices; and third-party software and peripherals, as well as configuration, support and deployment, and extended warranty services. It is involved in cybersecurity technology-driven security solutions to prevent security breaches, detect malicious activity, respond rapidly when a security breach occurs, and identify emerging threats; originating, collecting, and servicing customer financing arrangements; and the resale of VMware products and services. The company serves enterprises, public institutions, and small and medium-sized businesses through its direct sales channel, value-added resellers, system integrators, distributors, and retailers. The company was formerly known as Denali Holding Inc. and changed its name to Dell Technologies Inc. in August 2016. Dell Technologies Inc. was founded in 1984 and is headquartered in Round Rock, Texas."
"Dolby Laboratories, Inc. (NYSE:DLB)",NYSE:DLB,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Licensor,Systems Software,"Dolby Laboratories, Inc. (NYSE:DLB) 2024 Form 10-K","Dolby Laboratories, Inc. engages in the design and manufacture of audio, imaging, accessibility, and other hardware and software solutions primarily for application in the television, broadcast, and live entertainment industries in the United States and internationally. The company develops and licenses its audio technologies, such as AAC, HE-AAC, and extended HE-AAC, a digital audio codec solution; AVC, a digital video codec used in STBs, mobile devices, cameras, and broadcast television services and other products; and Dolby Atmos and Dolby Vision include encoding technologies that artists use to create more compelling and immersive audio and video experiences. Its audio technologies also include DD+, an advanced surround sound audio codec technology; Dolby AC-4, an audio codec that uses cutting edge compression; and HEVC, a next-generation digital video codec that compresses video. In addition, the company offers Dolby Cinemas, a premium large format cinemas that deliver a Dolby branded premium cinema offering with Dolby Vision, Dolby Atmos, and a Dolby theater design; Dolby.io, a next generation SaaS product of immersive, interactive, and social experiences with real-time engagement for live events, especially sports; and digital cinema servers, cinema processors, amplifiers, loudspeakers, and audio and imaging hardware and software products for the cinema, television, broadcast, communication, and entertainment industries. Further, it provides various services to support theatrical and television production for cinema exhibition, broadcast, and home entertainment. The company serves film studios, content creators, post-production facilities, and broadcasters. Dolby Laboratories, Inc. was founded in 1965 and is headquartered in San Francisco, California."
"Equinix, Inc. (NasdaqGS:EQIX)",NasdaqGS:EQIX,NVIDIA Corporation (NasdaqGS:NVDA),"Self
                         ",Supplier,Data Center REITs,"Equinix, Inc. (NasdaqGS:EQIX) 2024 Form 10-K","Equinix (Nasdaq: EQIX) is the world's digital infrastructure company. Digital leaders harness Equinix's trusted platform to bring together and interconnect foundational infrastructure at software speed. Equinix enables organizations to access all the right places, partners and possibilities to scale with agility, speed the launch of digital services, deliver world-class experiences and multiply their value, while supporting their sustainability goals."
