Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
Absolent Air Care Group AB (publ) (OM:ABSO),OM:ABSO,Scania AB (publ),"Subsidiary/Investment
                         ",Supplier,Building Products,Absolent Air Care Group AB (publ) (OM:ABSO) - Form Doc,"Absolent Air Care Group AB (publ) designs, develops, sells, installs, and maintains air filtration units. Its air cleaning solutions are used to separate air pollutants in a range of industries, including aerospace, automotive, chemical, electronics, pharmaceutical, woodworking, and food industries as well as in power generation, contract manufacturing, dental laboratories, hotels, and restaurants. The company's commercial kitchen systems handle harmful airborne particles and gases generated from cooking activities, as well as products portfolio comprise hoods, filtration technologies, and fire extinguishing systems. It offers its products under the Absolent, Aerofil, Airmaid, Avani, Dustcheck, Diversitech, Filtermist, Jeven, Kerstar, Nu-Air, Tessu and Quatro brand names. Absolent Air Care Group AB (publ) operates in Sweden, the United Kingdom, Canada, China, the United States, Germany, the Netherlands, Finland, France, India, Switzerland, Japan, Hong Kong, Italy, and Norway. The company was founded in 1993 is headquartered in Gothenburg, Sweden. Absolent Air Care Group AB (publ) is a subsidiary of Mexab Industri AB."
ACTIA Automotive SA,-,Scania AB (publ),"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,ACTIA Group S.A. (ENXTPA:ALATI) - Form Doc,"ACTIA Automotive SA manufactures electronic onboard systems for vehicles. The company was founded in 1986 and is based in Toulouse, France. ACTIA Automotive SA operates as a subsidiary of ACTIA Group S.A."
AD Plastik d.d. (ZGSE:ADPL),ZGSE:ADPL,AUDI AG,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,AD Plastik d.d. (ZGSE:ADPL) 2024 Form ,"AD Plastik d.d. develops, produces, and sells interior and exterior automotive components in Slovenia, Romania, Russia, France, Hungary, Italy, the United Kingdom, Germany, Spain, Slovakia, Croatia, Poland, the Czech Republic, and internationally. The company offers exterior components, such as front and rear bumpers, hood, front and rear bumper extender, front fender, front and rear fender protector, and rocker cladding; upper and lower grille, front skirt, and absorber; underbody covers, deflector, wheel arch housing, and window guide channel; roof spoiler; and rear skirt and diffusor. It provides interior components comprising door panels, central consoles, and instrument panel; headliners and floor carpets; parcel shelf and trunk side trim and carpets; and hard trims, sunvisor, and grab handle. In addition, the company offers seals, which comprise roof mouldings, windshield finishers, glass run channels, and door hidden frames, as well as outer and inner belts. Further, the company provides injection and blow moulding, painting, thermoforming, extrusion, non-woven textile, and assembly related technologies. AD Plastik d.d. was founded in 1952 and is headquartered in Solin, the Republic of Croatia."
AD Plastik d.d. (ZGSE:ADPL),ZGSE:ADPL,Bentley Motors Limited,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,AD Plastik d.d. (ZGSE:ADPL) 2024 Form ,"AD Plastik d.d. develops, produces, and sells interior and exterior automotive components in Slovenia, Romania, Russia, France, Hungary, Italy, the United Kingdom, Germany, Spain, Slovakia, Croatia, Poland, the Czech Republic, and internationally. The company offers exterior components, such as front and rear bumpers, hood, front and rear bumper extender, front fender, front and rear fender protector, and rocker cladding; upper and lower grille, front skirt, and absorber; underbody covers, deflector, wheel arch housing, and window guide channel; roof spoiler; and rear skirt and diffusor. It provides interior components comprising door panels, central consoles, and instrument panel; headliners and floor carpets; parcel shelf and trunk side trim and carpets; and hard trims, sunvisor, and grab handle. In addition, the company offers seals, which comprise roof mouldings, windshield finishers, glass run channels, and door hidden frames, as well as outer and inner belts. Further, the company provides injection and blow moulding, painting, thermoforming, extrusion, non-woven textile, and assembly related technologies. AD Plastik d.d. was founded in 1952 and is headquartered in Solin, the Republic of Croatia."
AD Plastik d.d. (ZGSE:ADPL),ZGSE:ADPL,Skoda Auto a.s.,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,AD Plastik d.d. (ZGSE:ADPL) 2024 Form ,"AD Plastik d.d. develops, produces, and sells interior and exterior automotive components in Slovenia, Romania, Russia, France, Hungary, Italy, the United Kingdom, Germany, Spain, Slovakia, Croatia, Poland, the Czech Republic, and internationally. The company offers exterior components, such as front and rear bumpers, hood, front and rear bumper extender, front fender, front and rear fender protector, and rocker cladding; upper and lower grille, front skirt, and absorber; underbody covers, deflector, wheel arch housing, and window guide channel; roof spoiler; and rear skirt and diffusor. It provides interior components comprising door panels, central consoles, and instrument panel; headliners and floor carpets; parcel shelf and trunk side trim and carpets; and hard trims, sunvisor, and grab handle. In addition, the company offers seals, which comprise roof mouldings, windshield finishers, glass run channels, and door hidden frames, as well as outer and inner belts. Further, the company provides injection and blow moulding, painting, thermoforming, extrusion, non-woven textile, and assembly related technologies. AD Plastik d.d. was founded in 1952 and is headquartered in Solin, the Republic of Croatia."
AD Plastik d.d. (ZGSE:ADPL),ZGSE:ADPL,Volkswagen AG (XTRA:VOW3),"Self
                         ",Supplier,Automotive Parts and Equipment,AD Plastik d.d. (ZGSE:ADPL) 2024 Form ,"AD Plastik d.d. develops, produces, and sells interior and exterior automotive components in Slovenia, Romania, Russia, France, Hungary, Italy, the United Kingdom, Germany, Spain, Slovakia, Croatia, Poland, the Czech Republic, and internationally. The company offers exterior components, such as front and rear bumpers, hood, front and rear bumper extender, front fender, front and rear fender protector, and rocker cladding; upper and lower grille, front skirt, and absorber; underbody covers, deflector, wheel arch housing, and window guide channel; roof spoiler; and rear skirt and diffusor. It provides interior components comprising door panels, central consoles, and instrument panel; headliners and floor carpets; parcel shelf and trunk side trim and carpets; and hard trims, sunvisor, and grab handle. In addition, the company offers seals, which comprise roof mouldings, windshield finishers, glass run channels, and door hidden frames, as well as outer and inner belts. Further, the company provides injection and blow moulding, painting, thermoforming, extrusion, non-woven textile, and assembly related technologies. AD Plastik d.d. was founded in 1952 and is headquartered in Solin, the Republic of Croatia."
Adient plc (NYSE:ADNT),NYSE:ADNT,Volkswagen AG (XTRA:VOW3),"Self
                         ",Supplier,Automotive Parts and Equipment,Adient plc (NYSE:ADNT) 2024 Form 10-K,"Adient plc engages in the design, development, manufacture, and market of seating systems and components for passenger cars, commercial vehicles, and light trucks. The company’s automotive seating solutions include complete seating systems, mechanisms, frames, foams, head restraints, armrests, and trim covers. It serves automotive original equipment manufacturers in North America and South America; Europe, Middle East, and Africa; and the Asia Pacific/China. Adient plc was incorporated in 2016 and is based in Dublin, Ireland."
ADS-TEC Energy PLC (NasdaqCM:ADSE),NasdaqCM:ADSE,Dr. Ing. h.c. F. Porsche AG (XTRA:P911),"Subsidiary/Investment
                         ",Supplier,Electrical Components and Equipment,Key DevelopmentClient Announcements May-23-2024,"ADS-TEC Energy PLC engages in the provision of intelligent and decentralized energy storage systems in Europe and North America. Its portfolio of ecosystem platforms provides DC-based ultra-fast chargers for Electric Vehicles (EVs) on power limited grids; and energy storage and management solutions for commercial and industrial, and residential sector coupling applications. The company offers ChargeBox, which contains the battery and power inverters; ChargePost, a semi-mobile ultra-high-power charger; and ChargeTrailer, a mobile high power charging system in the form of a standard truck trailer, that has various integrated inverters, air-conditioners, an energy management unit, and security firewall, as well as a communication unit through mobile radio and DC-charging technology. It also provides PowerBooster, a battery energy system with an integrated inverter, security, and communication unit, that boosts capacity for the charging process; Container-Systems, a custom battery system for large-scale applications as 20- or 40-foot container solutions; and Storage Rack Systems, that offers power and storage capacities, as well as digital services. In addition, the company is developing MyPowerplant platform for residential applications. Its products are used in private homes, public buildings, commercial enterprises, industrial and infrastructure solutions, and self-sufficient energy supply systems. The company was founded in 2008 and is based in Dublin, Ireland."
Adval Tech (Mexico) S.A. de C.V,-,AUDI AG,"Subsidiary/Investment
                         ",Supplier,,Adval Tech Holding AG (SWX:ADVN) - Form Doc,There is no business description for this supplier.
Adval Tech (Mexico) S.A. de C.V,-,Volkswagen AG (XTRA:VOW3),"Self
                         ",Supplier,,Adval Tech Holding AG (SWX:ADVN) - Form Doc,There is no business description for this supplier.
